id	bibtex_key	title	author	author_full	url	local	h-index	Cited by	journal	journal_edited	year	Complex question subtype	What related works are cited?	Approach	Tool name	Is training necessary?	Is it open source? Link?	Knowledge Base	Metric	Dataset	How the work try to solve the complex question problem?	Pipeline de para construção da resposta (Normalmente é reconhecimento de entidade, extração de relações entre entidades etc)	Other informations	Scenario	Está disponível? Se sim, pegar o link/ref 	Limitações do trabalho? Oq ficou faltando?
1	Yin20141	CDQA: An ontology-based question answering system for Chinese delicacy	Yin, W./ Ge, W. / Wang, H.	Wenke Yin /  Weiyi Ge / Heng Wang	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988306340&doi=10.1109%2fCCIS.2014.7175693&partnerID=40&md5=eae23984c06c9291545f980e0614274a	Conference	6	2	CCIS 2014 - Proceedings of 2014 IEEE 3rd International Conference on Cloud Computing and Intelligence Systems	CCIS	2014	Multi-hop questions, Contraints questions	X	Semantic Parsing		N		Chinese_Delicacy_ontology	Accuracy	BaiduZhidao	They create rules rules to judge whether the questions are complex or not. Create standards for identifying complex questions	(1)Ontology preprocessing: (2)  Question Analysis:  (3) Onto-Triple Mapping: (4) Answer Generation Module:	CN -- Em dúvida, não sei oq ele quis dizer com "pergunstas complex com multiplex". Tenho q ver mais a fundo se é ou não	General	http://zhidao.baidu.com, 	CDQA can’t deal with these kinds of “complicated” questions.
2	Reddy20202710	Convolutional recurrent neural network with template based representation for complex question answering	Reddy, A.C.O. / Madhavi, K.	A. Chandra Obula Reddy/ K. Madhavi	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077891585&doi=10.11591%2fijece.v10i3.pp2710-2718&partnerID=40&md5=ccdf5b9a24bd74ed66cb7a6ef9e54536	Journal	19	0	International Journal of Electrical and Computer Engineering	IJECE	2020	Multi-hop questions	X	Neural Networks	T-CRNN	S	X	Probase	Precision, Recall, F1, Accuracy	 Factoid Q&A Corpus	Break complex questions into simple questions	usa CNN + LSTM	ML/DL.  Perguntas com multiplos predicados/fatos	General	Z. Yang, et al., "Finding the right social media site for questions," IEEE/ACM, pp. 639-644, 2015.	
3	Yin20151301	Answering questions with complex semantic constraints on open knowledge bases	Yin, P. / Duan, N. / Kao, B. / Bao, J. / Zhou, M.	Pengcheng Yin / Nan Duan /  Ben C.M. Kao / Junwei Bao / Ming Zhou	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958235784&doi=10.1145%2f2806416.2806542&partnerID=40&md5=45a228a87816d49bc30eb32f1bc610d0	Conference	111	61	International Conference on Information and Knowledge Management, Proceedings	CIKM	2015	Multi-hop questions, Contraints questions	Sim, oqa//ParaSempre	Semantic Parsing	TAQA	S	http://taqa.pcyin.me/	NoKB	Accuracy, Recall	WebQuestions, ComplexQuestions	SubQuestions	O metodo se baseia em uma combinação de analise de dependências que analisa a questão sintaticamente complexa e responde a questão usando tupla com asserções com um numero de argumentos.  Eles aprensentam 4 módulos principais:  (1) Question Paraphrasing: onde é feita a rescrita a pergunta original em um conjunto de templates. Para isso, eles usam o e WikiAnswers paraphrasing templates dataset, que já contém 5 milhões de templates. Porém, como o dataset é cheio de ruídos eles criaram uma regressa de associação entre os templates do dataset para verificar se os templates estão corretos ou não. (2) Question Parsing: onde são criadas as n-tuplas lógicas na query da etapa anterior usando análise de denpendencia. Nessa etapa eles usam árvore de dependência e analisam a relação entre as entidades da frase para criar as tuplas. (3) Open KB Querying: Etapa em que eles testam cada tupla dentro do KG para gerar uma lista de respostas candidatas. Nesse processos, eles utilizam um conjunto de assertions indexadas no SOLR e, na proxima etapa, fazem um alinhamento entre tupla e o KG para encontrar os relacionamentos (Usam POStag e outros NLP tools para isso) (4) Answer Ranking: Validamento e ranqueamento dos candidatos a resposta. Para isso usam um conjunto de análises de similaridade, n_gran e frequencia das entidades em cada resposta. Por último, fazendo um log-linear para calcular a probabilidade da resposta correta ser aquela.	CN --- "Relatively few efforts, however, have been spent on answering questions with rich semantic constraints, such as those that are expressed via prepositional or adverbial modifiers"  " The objective of this paper is to study how questions with complex semantic constraints, particularly those expressed via prepositional or adverbial phrases, can be answered on a KB-QA system"  Foco: query com restrições semantinca, incluindo restrições temporais como por exemplo (depois de 2012) 	General		Trabalho precisa melhorar de uma forma geral, melhorar seus mapas, regras e afins…
4	bast2015more	More accurate question answering on freebase	Bast, Hannah / Haussmann, Elmar	Hannah Bast / Elmar Haussmann	https://dl.acm.org/doi/pdf/10.1145/2806416.2806472?casa_token=OWkEZ2kTQ-AAAAAA:JCH9mqhvoxoWgKciQ43xauG65XxtjjMuVb6TWAO__iTpDXoDE-2P98LA4csQtkJVszt0Pqt9aprQ4Q	Conference	111	151	Proceedings of the 24th ACM International on Conference on Information and Knowledge Managemen	CIKM	2015	Multi-hop questions		Semantic Parsing	Aqqu/ Aqqu++	S	http://ad.informatik.uni-freiburg.de/publications	Freebase	Accuracy, F1	Free917, WebQuestions	A new end-to-end system that automatically translates a given natural-language question to the matching SPARQL query on a given knowledge base. "Utiliza de Templates"	We begin by identifying entities from the KB that are mentioned in the question and we match a set of query templates to the question. The final result of this step is a set of all the matched query candidates. We now have a set of query candidates, where each candidate is enriched with information about which of its entities and relations match which parts of the question how well. It remains to rank the candidates in order to find the best matching candidate.	Aqqu/ Aqqu++	General	https://github.com/brmson/dataset-factoid-webquestions https://github.com/percyliang/sempre	Semantic Parsing
5	Maheshwari2019487	Learning to Rank Query Graphs for Complex Question Answering over Knowledge Graphs	Maheshwari, G. / Trivedi, P. / Lukovnikov, D. / Chakraborty, N. / Fischer, A. / Lehmann, J.	Gaurav Maheshwari / Priyansh Trivedi / Denis Lukovnikov / Nilesh Chakraborty / Asja Fischer / Jens Lehmann	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075761437&doi=10.1007%2f978-3-030-30793-6_28&partnerID=40&md5=236b9ee0db73ed6ac754a7935b582f2f	Conference	356	15	18th International Semantic Web Conference	ISWC	2019	Multi-hop questions		Semantic Parsing, Neural Networks		S	X	DBpedia	MRR, CCA, Precision, Recall, F1	QALD, LC-QuAD	BERT			General	SIm	
6	hong2016temporal	Temporal ontology representation and reasoning using ordinals and sets for historical events	Hong, Myung-Duk / Oh, Kyeong-Jin / Go, Seung-Hyun / Jo, Geun-Sik	Myung-Duk Hong / Kyeong-Jin Oh / Seung-Hyun Go / Geun-Sik Jo	https://sci-hub.tw/https://doi.org/10.1007/978-3-662-49381-6_8	Conference	14	3	8th Asian Conference, ACIIDS: Asian Conference on Intelligent Information and Database Systems	ACIIDS	2016	Contraints questions	OWL-Time	Semantic Parsing	SWRL	N	Não encontrado.	DBpedia	X	X	The proposed model can easily answer complex questions for historical events through queries using the proposed operators with the SWRL system	Sistema realiza buscas SPARQL no Grafo e monta uma logica "usando SWLR" atraz da classe IntervalGroup e varias condições de instancias são criadas para definir intersecção e união para uma montar uma representação temporal. Apos é criado um Sparql com a logica temporal para pesquisar no grafo.	Perguntas temporais : "This paper proposes a temporal representation model to support qualitative and quantitative temporal information on historical ontology through the application of the concept of ordinals and sets"  Foco: Perguntas Temporais	Temp	X	Artigo incompleto, não demonstra Avaliação, nenhum dataset, poucas informações.
7	bao2016constraint	Constraint-based question answering with knowledge graph	Bao, Junwei / Duan, Nan / Yan, Zhao / Zhou, Ming / Zhao, Tiejun	Junwei Bao / Nan Duan / Zhao Yan / Ming Zhou / Tiejun Zhao	https://www.aclweb.org/anthology/C16-1236.pdf	Conference	49	72	Proceedings of COLING 2016, the 26th International Conference on Computational Linguistics: Technical Papers	COLING	2016	Multi-hop questions		Semantic Parsing, Neural Networks	MULCQ	S	X	Freebase	F1	ComplexQuestions	Translating a multiconstraint question to a multi-constraint query graph	We use the entire Freebase dump. Besides, an entity linker, the Stanford NER, and an in-house implementation of shift-reduce dependency parser with Stanford dependency which is used in detecting temporal clause.	MULCQ	General	https://github.com/JunweiBao/MulCQA/tree/ComplexQuestions	
8	DBLP:conf/acl/XuRFHZ16	Question Answering on Freebase via Relation Extraction and Textual Evidence	Kun Xu / Siva Reddy / Yansong Feng / Songfang Huang / Dongyan Zhao	Kun Xu / Siva Reddy / Yansong Feng / Songfang Huang / Dongyan Zhao	http://aclweb.org/anthology/P/P16/P16-1220.pdf	Conference	36	165	Proceedings of the 54th Annual Meeting of the Association for Computational Linguistics	ACL	2016	Multi-hop questions		Semantic Parsing	SN_1	S	https://github.com/syxu828/QuestionAnsweringOverFB.	Freebase	F1, Accuracy	WebQuestions	We first decompose the original question into a set of sub-questions using syntactic patterns which are listed in Appendix. The final answer set of the original question is obtained by intersecting the answer sets of all its sub-questions.	Entity linking, extrai os relacionamentos, classifica os dados e cruza entre KB e Texto WEB	SN_1	General	https://github.com/brmson/dataset-factoid-webquestions	Questões de Multi-hops e outros.
9	Abujabal20171191	Automated template generation for question answering over knowledge graphs	Abujabal, A. / Riedewald, M. / Yahya, M. / Weikum, G.	Abdalghani Abujabal /  Mirek Riedewald / Mohamed Yahya / Gerhard Weikum	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045092489&doi=10.1145%2f3038912.3052583&partnerID=40&md5=355705e8e3193f9fee1fbc60126cbbe1	Conference	80	100	26th International World Wide Web Conference, WWW 2017	WWW	2017	Multi-hop questions	QALD and BioASQ	Semantic Parsing		S	X	Freebase	F1, Accuracy	WebQuestions, Free917, ComplexQuestions	SubQuestions	QUINT, uses basic templates to answer structurally complex compositional questions without observing such questions during training. QUINT accomplishes this by i) automatically decomposing the question into its constituent clauses"Utiliza árvore de analise de dependência principalmente para lidar com enunciados composicionais", ii) computing answers for each constituent using our templates, and iii) combining these answers to obtain the final answer.	ML/DM :  Foco: Quebrar perguntas complexas em simples (multiplos predicados/saltos)	General	http://wiki.answers.com/	A detailed analysis of the results on the WebQuestions test set reveals that of the 2032 test questions, 3 could not be matched to any of our templates. Another 33 test questions were matched to a template, but no query candidates were generated. The first cause of this issue is the incompleteness of our predicate lexicon, resulting in empty lookups. This suggests that we can benefit from extending our lexicon construction scheme. The second cause is incorrect dependency parse trees and POS tag annotations.
10	miller2016key	Key-value memory networks for directly reading documents	Miller, Alexander / Fisch, Adam / Dodge, Jesse / Karimi, Amir-Hossein / Bordes, Antoine / Weston, Jason	Alexander H. Miller / Adam Fisch / Jesse Dodge / Amir-Hossein Karimi / Antoine Bordes / Jason Weston	https://arxiv.org/pdf/1606.03126.pdf	Conference	112	459	 In Proceedings of the 2016 Conference on Empirical Methods in Natural Language Processing	EMNLP	2016	Multi-hop questions		Semantic Parsing, Neural Networks	KV-MemNN	s	X	WikiMovies	Hit	WikiMovies	A Memory Network model that operates a symbolic memory structured as (key, value) pairs.	one defines a memory, which is a possibly very large array of slots which can encode both long-term and short-term context. At test time one is given a query, which is used to iteratively address and read from the memory  looking for relevant information to answer the question. At each step, the collected information from the memory is cumulatively added to the original query to build context for the next round. At the last iteration, the final retrieved context and the most recent query are combined as features to predict a response from a list of candidates.	KV-MemNN	Movies		
